FT22308G-140606-001,FT22308G,FT22308G-1,06/06/2014,10:00:00 AM,n_a,1,32,DEJU,3,1,2,S,,,A,M,,,,,
FT22308G-140606-002,FT22308G,FT22308G-1,06/06/2014,10:00:00 AM,n_a,1,32,PAWA,1,1,1,S,,,A,M,,,,,
FT22308G-140606-003,FT22308G,FT22308G-1,06/06/2014,10:00:00 AM,n_a,1,32,RCKI,1,1,2,S,,,A,M,,,,,
FT22308G-140606-004,FT22308G,FT22308G-1,06/06/2014,10:00:00 AM,n_a,1,32,CORA,1,2,3,C,,,U,U,FO,,,,
FT22308G-140606-005,FT22308G,FT22308G-1,06/06/2014,10:00:00 AM,n_a,1,32,CHSP,5,3,1,S,,,A,M,,,,,
FT22308G-140606-006,FT22308G,FT22308G-1,06/06/2014,10:00:00 AM,n_a,1,32,CANG,1,3,3,C,,,A,U,FO,,,,
FT22308G-140606-007,FT22308G,FT22308G-1,06/06/2014,10:00:00 AM,n_a,1,32,WTSP,3,4,2,S,,,A,M,,,,,
FT22308G-140606-008,FT22308G,FT22308G-1,06/06/2014,10:00:00 AM,n_a,1,32,RCKI,1,4,2,S,,,A,M,,,,,
FT22308N-140606-001,FT22308N,FT22308N-1,06/06/2014,6:15:00 AM,n_a,1,63,YBFL,3,1,1,S,,,A,M,,,,,
FT22308N-140606-002,FT22308N,FT22308N-1,06/06/2014,6:15:00 AM,n_a,1,63,RCKI,1,1,1,S,,,A,M,CS,,,,
FT22308N-140606-003,FT22308N,FT22308N-1,06/06/2014,6:15:00 AM,n_a,1,63,SWTH,1,1,2,S,,,A,M,,,,,
FT22308N-140606-004,FT22308N,FT22308N-1,06/06/2014,6:15:00 AM,n_a,1,63,MAWA,5,1,2,S,,,A,M,,,,,
FT22308N-140606-005,FT22308N,FT22308N-1,06/06/2014,6:15:00 AM,n_a,1,63,TEWA,1,2,1,S,,,A,M,CS,,,,
FT22308N-140606-006,FT22308N,FT22308N-1,06/06/2014,6:15:00 AM,n_a,1,63,LISP,1,3,1,S,,,A,M,,,,,
FT22308N-140606-007,FT22308N,FT22308N-1,06/06/2014,6:15:00 AM,n_a,1,63,PAWA,5,3,2,S,,,A,M,,,,,
FT22308N-140606-008,FT22308N,FT22308N-1,06/06/2014,6:15:00 AM,n_a,1,63,TEWA,1,3,2,S,,,A,M,,,,,
FT22308N-140606-009,FT22308N,FT22308N-1,06/06/2014,6:15:00 AM,n_a,1,63,WTSP,1,3,2,S,,,A,M,,,,,
FT22308N-140606-010,FT22308N,FT22308N-1,06/06/2014,6:15:00 AM,n_a,1,63,GRAJ,3,4,1,C,,,U,U,,,,,
FT22308N-140606-011,FT22308N,FT22308N-1,06/06/2014,6:15:00 AM,n_a,1,63,COYE,1,4,1,S,,,A,M,,,,,
FT22308N-140606-012,FT22308N,FT22308N-1,06/06/2014,6:15:00 AM,n_a,1,63,TEWA,1,4,1,S,,,A,M,CS,,,,
FT22308N-140606-013,FT22308N,FT22308N-1,06/06/2014,6:15:00 AM,n_a,1,63,RCKI,1,4,1,S,,,A,M,CS,,,,
FT22308N-140606-014,FT22308N,FT22308N-1,06/06/2014,6:15:00 AM,n_a,1,63,CHSP,1,4,1,S,,,A,M,,,,,
FT22308N-140606-015,FT22308N,FT22308N-1,06/06/2014,6:15:00 AM,n_a,1,63,UNWO,1,4,3,S,,,A,M,DR,,,,
FT22308S-140606-001,FT22308S,FT22308S-1,06/06/2014,9:20:00 AM,n_a,1,63,GRAJ,5,1,2,C,,,U,U,,,,,
FT22308S-140606-002,FT22308S,FT22308S-1,06/06/2014,9:20:00 AM,n_a,1,63,YRWA,5,2,1,S,,,A,M,,,,,
FT22308S-140606-003,FT22308S,FT22308S-1,06/06/2014,9:20:00 AM,n_a,1,63,CORA,1,2,2,C,,,U,U,,,,,
FT22308S-140606-004,FT22308S,FT22308S-1,06/06/2014,9:20:00 AM,n_a,1,63,WTSP,5,3,1,S,,,A,M,,,,,
FT22308S-140606-005,FT22308S,FT22308S-1,06/06/2014,9:20:00 AM,n_a,1,63,TEWA,1,4,1,S,,,A,M,,,,,
FT22309G-140606-001,FT22309G,FT22309G-1,06/06/2014,9:32:00 AM,n_a,1,32,YRWA,1,1,1,C,S,,A,M,,,,,
FT22309G-140606-002,FT22309G,FT22309G-1,06/06/2014,9:32:00 AM,n_a,1,32,MAWA,1,1,2,S,,,A,M,CS,,,,
FT22309G-140606-003,FT22309G,FT22309G-1,06/06/2014,9:32:00 AM,n_a,1,32,MAWA,1,1,2,S,,,A,M,CS,,,,
FT22309G-140606-004,FT22309G,FT22309G-1,06/06/2014,9:32:00 AM,n_a,1,32,BAWW,1,2,1,S,V,,A,M,,,,,From 50-100 moved within 50m.
FT22309G-140606-005,FT22309G,FT22309G-1,06/06/2014,9:32:00 AM,n_a,1,32,PAWA,1,2,2,S,,,A,M,CS,,,,
FT22309G-140606-006,FT22309G,FT22309G-1,06/06/2014,9:32:00 AM,n_a,1,32,BAWW,1,3,2,S,,,A,M,CS,,,,
FT22309G-140606-007,FT22309G,FT22309G-1,06/06/2014,9:32:00 AM,n_a,1,32,RCKI,1,4,2,S,,,A,M,,,,,
FT22309G-140606-008,FT22309G,FT22309G-1,06/06/2014,9:32:00 AM,n_a,1,32,CORA,3,4,3,C,,,U,U,FO,,,,
FT22309G-140606-009,FT22309G,FT22309G-1,06/06/2014,9:32:00 AM,n_a,1,32,CORA,3,4,3,C,,,U,U,FO,,,,
HF20101G-140601-001,HF20101G,HF20101G-1,01/06/2014,5:12:00 AM,n_a,1,63,OVEN,1,1,1,S,,,A,M,CS,,,,
HF20101G-140601-002,HF20101G,HF20101G-1,01/06/2014,5:12:00 AM,n_a,1,63,RESQ,5,2,1,C,,,U,U,,,,,
HF20101G-140601-003,HF20101G,HF20101G-1,01/06/2014,5:12:00 AM,n_a,1,63,HETH,1,3,1,S,,,A,M,,,,,
HF20101G-140601-004,HF20101G,HF20101G-1,01/06/2014,5:12:00 AM,n_a,1,63,YRWA,3,3,2,S,,,A,M,,,,,
HF20101G-140601-005,HF20101G,HF20101G-1,01/06/2014,5:12:00 AM,n_a,1,63,OVEN,1,4,1,S,,,A,M,CS,,,,
HF20101G-140601-006,HF20101G,HF20101G-1,01/06/2014,5:12:00 AM,n_a,1,63,WTSP,3,4,3,S,,,A,M,,,,,
HF20101N-140601-001,HF20101N,HF20101N-1,01/06/2014,9:54:00 AM,n_a,1,87,NOHA,3,4,1,V,,,A,F,FT,,,Flew to NE,
HF20101N-140601-002,HF20101N,HF20101N-1,01/06/2014,9:54:00 AM,n_a,1,87,YRWA,1,4,1,S,,,A,M,,,,,
HF20101N-140601-003,HF20101N,HF20101N-1,01/06/2014,9:54:00 AM,n_a,1,87,LEYE,1,4,2,C,,,U,U,,,,,*Recorded as GRAJ
HF20101N-140601-004,HF20101N,HF20101N-1,01/06/2014,9:54:00 AM,n_a,1,87,LEYE,5,4,2,C,,,U,U,,,,,*Recorded as UNKN
HF20101N-140601-005,HF20101N,HF20101N-1,01/06/2014,9:54:00 AM,n_a,1,87,LCSP,1,1,1,S,,,A,M,CS,,,,
HF20101N-140601-006,HF20101N,HF20101N-1,01/06/2014,9:54:00 AM,n_a,1,87,UNSP,1,1,1,S,,,A,M,,,,,
HF20101N-140601-007,HF20101N,HF20101N-1,01/06/2014,9:54:00 AM,n_a,1,87,UNSB,1,1,1,C,,,U,U,,,,,SPSA or SOSA?
HF20101N-140601-008,HF20101N,HF20101N-1,01/06/2014,9:54:00 AM,n_a,1,87,RCKI,5,1,2,S,,,A,M,,,,,
HF20101N-140601-009,HF20101N,HF20101N-1,01/06/2014,9:54:00 AM,n_a,1,87,LCSP,1,1,2,S,,,A,M,CS,,,,
HF20101N-140601-010,HF20101N,HF20101N-1,01/06/2014,9:54:00 AM,n_a,1,87,UNKN,1,1,2,C,,,U,U,,,,counter calling,
HF20101N-140601-011,HF20101N,HF20101N-1,01/06/2014,9:54:00 AM,n_a,1,87,YRWA,1,1,2,S,,,A,M,,,,,
HF20101N-140601-012,HF20101N,HF20101N-1,01/06/2014,9:54:00 AM,n_a,1,87,SACR,1,2,1,C,,,U,U,,,,,
HF20101N-140601-013,HF20101N,HF20101N-1,01/06/2014,9:54:00 AM,n_a,1,87,SACR,1,2,1,C,,,U,U,FO,,,Flew to NE,
HF20101N-140601-014,HF20101N,HF20101N-1,01/06/2014,9:54:00 AM,n_a,1,87,WISN,3,2,2,S,,,U,U,FO,,,Flew to NE,
HF20101N-140601-015,HF20101N,HF20101N-1,01/06/2014,9:54:00 AM,n_a,1,87,RESQ,5,2,2,C,,,A,U,WI,,,,
HF20101N-140601-016,HF20101N,HF20101N-1,01/06/2014,9:54:00 AM,n_a,1,87,BOCH,3,2,2,C,,,U,U,,,,,
HF20101N-140601-017,HF20101N,HF20101N-1,01/06/2014,9:54:00 AM,n_a,1,87,BOCH,3,3,2,S,,,U,U,,,,,
HF20101N-140601-018,HF20101N,HF20101N-1,01/06/2014,9:54:00 AM,n_a,1,87,CHSP,5,3,1,S,,,A,M,,,,,
HF20101S-140601-001,HF20101S,HF20101S-1,01/06/2014,8:59:00 AM,n_a,1,87,LISP,1,1,1,S,,,A,M,CS,,,,
HF20101S-140601-002,HF20101S,HF20101S-1,01/06/2014,8:59:00 AM,n_a,1,87,GRAJ,1,1,1,C,,,U,U,,,,,
HF20101S-140601-003,HF20101S,HF20101S-1,01/06/2014,8:59:00 AM,n_a,1,87,UNKN,3,1,2,V,,,U,U,FO,,,,Sparrow?  Flew from North to SW.
HF20101S-140601-004,HF20101S,HF20101S-1,01/06/2014,8:59:00 AM,n_a,1,87,RCKI,5,1,2,S,,,A,M,,,,,
HF20101S-140601-005,HF20101S,HF20101S-1,01/06/2014,8:59:00 AM,n_a,1,87,WISN,5,1,2,S,,,A,U,WI,,,,
HF20101S-140601-006,HF20101S,HF20101S-1,01/06/2014,8:59:00 AM,n_a,1,87,SPSA,1,1,2,S,,,A,M,,,,,
HF20101S-140601-007,HF20101S,HF20101S-1,01/06/2014,8:59:00 AM,n_a,1,87,RCKI,1,2,2,S,,,A,M,,,,,
HF20101S-140601-008,HF20101S,HF20101S-1,01/06/2014,8:59:00 AM,n_a,1,87,UNKN,5,2,2,C,,,U,U,,,,,
HF20101S-140601-009,HF20101S,HF20101S-1,01/06/2014,8:59:00 AM,n_a,1,87,BOCH,3,3,1,C,,,U,U,,,,,
HF20101S-140601-010,HF20101S,HF20101S-1,01/06/2014,8:59:00 AM,n_a,1,87,CMWA,3,3,1,S,,,A,M,CS,,,,"possibly a DEJU? ""see see see see"""
HF20101S-140601-011,HF20101S,HF20101S-1,01/06/2014,8:59:00 AM,n_a,1,87,LISP,1,4,1,S,,,A,M,CS,,,,
HF20101S-140601-012,HF20101S,HF20101S-1,01/06/2014,8:59:00 AM,n_a,1,87,WTSP,1,4,1,C,,,A,U,,,,,
HF20101S-140601-013,HF20101S,HF20101S-1,01/06/2014,8:59:00 AM,n_a,1,87,UNKN,1,4,1,C,,,U,U,,,,,
HF20101S-140601-014,HF20101S,HF20101S-1,01/06/2014,8:59:00 AM,n_a,1,87,CMWA,3,4,1,S,,,A,M,CS,,,,
HF20101S-140601-015,HF20101S,HF20101S-1,01/06/2014,8:59:00 AM,n_a,1,87,GRAJ,1,4,1,C,,,U,U,,,,,
HF20101S-140601-016,HF20101S,HF20101S-1,01/06/2014,8:59:00 AM,n_a,1,87,DEJU,5,4,1,S,,,A,M,,,,,
HF20102G-140601-001,HF20102G,HF20102G-1,01/06/2014,5:40:00 AM,n_a,1,63,YRWA,1,1,1,S,,,A,M,,,,,
HF20102G-140601-002,HF20102G,HF20102G-1,01/06/2014,5:40:00 AM,n_a,1,63,RBNU,1,1,3,S,,,A,U,,,,,
HF20102G-140601-003,HF20102G,HF20102G-1,01/06/2014,5:40:00 AM,n_a,1,63,OVEN,1,2,1,S,,,A,M,CS,,,,
HF20102G-140601-004,HF20102G,HF20102G-1,01/06/2014,5:40:00 AM,n_a,1,63,OVEN,1,3,1,S,,,A,M,CS,,,,
HF20102G-140601-005,HF20102G,HF20102G-1,01/06/2014,5:40:00 AM,n_a,1,63,RUGR,1,3,1,S,,,A,M,,,,,
HF20102G-140601-006,HF20102G,HF20102G-1,01/06/2014,5:40:00 AM,n_a,1,63,CORA,5,3,3,C,,,A,U,,,,,
HF20102G-140601-007,HF20102G,HF20102G-1,01/06/2014,5:40:00 AM,n_a,1,63,YRWA,1,4,1,S,,,A,M,,,,,
HF20102G-140601-008,HF20102G,HF20102G-1,01/06/2014,5:40:00 AM,n_a,1,63,HETH,1,4,1,S,,,A,M,,,,,
HF20102N-140601-001,HF20102N,HF20102N-1,01/06/2014,6:43:00 AM,n_a,1,87,LISP,1,1,1,S,,,A,M,,,,,
HF20102N-140601-002,HF20102N,HF20102N-1,01/06/2014,6:43:00 AM,n_a,1,87,OCWA,1,1,1,S,,,A,M,,,,,
HF20102N-140601-003,HF20102N,HF20102N-1,01/06/2014,6:43:00 AM,n_a,1,87,LEYE,5,1,2,C,,,A,U,FT,,,,*Recorded as UNKN: YBSA? Or UNSBnspiper?
HF20102N-140601-004,HF20102N,HF20102N-1,01/06/2014,6:43:00 AM,n_a,1,87,OVEN,1,1,3,S,,,A,M,CS,,,,
HF20102N-140601-005,HF20102N,HF20102N-1,01/06/2014,6:43:00 AM,n_a,1,87,CORA,1,1,2,C,,,A,U,,,,,
HF20102N-140601-006,HF20102N,HF20102N-1,01/06/2014,6:43:00 AM,n_a,1,87,GRAJ,1,1,2,C,,,U,U,,,,,
HF20102N-140601-007,HF20102N,HF20102N-1,01/06/2014,6:43:00 AM,n_a,1,87,GRAJ,1,1,2,C,,,U,U,,,,,
HF20102N-140601-008,HF20102N,HF20102N-1,01/06/2014,6:43:00 AM,n_a,1,87,RCKI,1,1,2,S,,,A,M,CS,,,Suspected move to SE and countersang.,
HF20102N-140601-009,HF20102N,HF20102N-1,01/06/2014,6:43:00 AM,n_a,1,87,SWTH,1,1,2,S,,,A,M,,,,,
HF20102N-140601-010,HF20102N,HF20102N-1,01/06/2014,6:43:00 AM,n_a,1,87,YBSA,3,1,2,S,,,A,M,CS,,,,*Recorded as UNWO: YBSA?
HF20102N-140601-011,HF20102N,HF20102N-1,01/06/2014,6:43:00 AM,n_a,1,87,SWSP,5,1,2,S,,,A,M,,,,,
HF20102N-140601-012,HF20102N,HF20102N-1,01/06/2014,6:43:00 AM,n_a,1,87,RCKI,5,2,1,C,,,U,U,,,,Perhaps this is bird #13,*Recorded as UNKN; Lucas agrees likely bird #13.
HF20102N-140601-013,HF20102N,HF20102N-1,01/06/2014,6:43:00 AM,n_a,1,87,RCKI,3,2,1,S,,,A,M,CS,,,,
HF20102N-140601-014,HF20102N,HF20102N-1,01/06/2014,6:43:00 AM,n_a,1,87,YBSA,3,2,2,S,,,A,M,CS,,,,*Recorded as UNWO: funny YBSA?
HF20102N-140601-015,HF20102N,HF20102N-1,01/06/2014,6:43:00 AM,n_a,1,87,OVEN,5,2,2,S,,,A,M,,,,,
HF20102N-140601-016,HF20102N,HF20102N-1,01/06/2014,6:43:00 AM,n_a,1,87,RCKI,5,3,1,C,,,U,U,,,,,*Recorded as UNKN: GRAJ or RCKI?
HF20102N-140601-017,HF20102N,HF20102N-1,01/06/2014,6:43:00 AM,n_a,1,87,GRAJ,1,3,1,C,,,U,U,,,,,
HF20102N-140601-018,HF20102N,HF20102N-1,01/06/2014,6:43:00 AM,n_a,1,87,SWSP,1,4,1,S,,,A,M,,,,,
HF20102N-140601-019,HF20102N,HF20102N-1,01/06/2014,6:43:00 AM,n_a,1,87,BOCH,1,4,1,C,,,A,U,,,,,
HF20102N-140601-020,HF20102N,HF20102N-1,01/06/2014,6:43:00 AM,n_a,1,87,OVEN,1,4,2,S,,,A,M,CS,,,,
HF20102S-140601-001,HF20102S,HF20102S-1,01/06/2014,5:57:00 AM,n_a,1,87,YRWA,1,1,1,S,,,A,M,,,,,
HF20102S-140601-002,HF20102S,HF20102S-1,01/06/2014,5:57:00 AM,n_a,1,87,SWSP,1,1,1,S,,,A,M,,,,,
HF20102S-140601-003,HF20102S,HF20102S-1,01/06/2014,5:57:00 AM,n_a,1,87,BCCH,1,1,1,C,,,U,U,,,,,
HF20102S-140601-004,HF20102S,HF20102S-1,01/06/2014,5:57:00 AM,n_a,1,87,UNKN,3,1,2,C,,,U,U,,,,,
HF20102S-140601-005,HF20102S,HF20102S-1,01/06/2014,5:57:00 AM,n_a,1,87,CANG,5,1,3,C,,,U,U,,,,,
HF20102S-140601-006,HF20102S,HF20102S-1,01/06/2014,5:57:00 AM,n_a,1,87,GRAJ,3,2,1,C,,,U,U,,,,,
HF20102S-140601-007,HF20102S,HF20102S-1,01/06/2014,5:57:00 AM,n_a,1,87,BCCH,5,2,1,C,,,A,U,,,,,
HF20102S-140601-008,HF20102S,HF20102S-1,01/06/2014,5:57:00 AM,n_a,1,87,GRAJ,1,2,2,C,,,U,U,,,,,
HF20102S-140601-009,HF20102S,HF20102S-1,01/06/2014,5:57:00 AM,n_a,1,87,GRAJ,1,2,2,C,,,U,U,,,,,
HF20102S-140601-010,HF20102S,HF20102S-1,01/06/2014,5:57:00 AM,n_a,1,87,ATTW,3,2,2,S,,,A,M,CS,DR,,,*Recorded as UNWO: PIWO? Ben agreed ATTW.
HF20102S-140601-011,HF20102S,HF20102S-1,01/06/2014,5:57:00 AM,n_a,1,87,RCKI,5,3,2,S,,,A,M,CS,,,,
HF20102S-140601-012,HF20102S,HF20102S-1,01/06/2014,5:57:00 AM,n_a,1,87,SWSP,5,3,1,S,,,A,M,,,,,
HF20102S-140601-013,HF20102S,HF20102S-1,01/06/2014,5:57:00 AM,n_a,1,87,UNWO,3,3,1,C,,,U,U,CS,,,,
HF20102S-140601-014,HF20102S,HF20102S-1,01/06/2014,5:57:00 AM,n_a,1,87,YBFL,1,4,1,S,,,A,M,,,,,
HF20102S-140601-015,HF20102S,HF20102S-1,01/06/2014,5:57:00 AM,n_a,1,87,ATTW,1,4,1,C,,,U,U,CS,,,Called simultaneously with #10,*Recorded as UNWO: PIWO?
HF20102S-140601-016,HF20102S,HF20102S-1,01/06/2014,5:57:00 AM,n_a,1,87,RCKI,1,2,2,S,,,A,M,,,,,
HF20102S-140601-017,HF20102S,HF20102S-1,01/06/2014,5:57:00 AM,n_a,1,87,UNWO,3,2,2,S,,,A,M,,,,,PIWO?
HF20102S-140601-018,HF20102S,HF20102S-1,01/06/2014,5:57:00 AM,n_a,1,87,SACR,3,4,2,C,,,U,U,,,,,*Recorded as UNKN: Waterbird
HF20102S-140601-019,HF20102S,HF20102S-1,01/06/2014,5:57:00 AM,n_a,1,87,DEJU,5,3,1,C,,,U,U,,,,,*Recorded as UNKN.
HF20103G-140601-001,HF20103G,HF20103G-1,01/06/2014,6:01:00 AM,n_a,1,63,LISP,1,1,1,S,,,A,M,,,,,
HF20103G-140601-002,HF20103G,HF20103G-1,01/06/2014,6:01:00 AM,n_a,1,63,COYE,1,1,1,S,,,A,M,,,,,
HF20103G-140601-003,HF20103G,HF20103G-1,01/06/2014,6:01:00 AM,n_a,1,63,RCKI,1,1,2,S,,,A,M,,,,,
HF20103G-140601-004,HF20103G,HF20103G-1,01/06/2014,6:01:00 AM,n_a,1,63,YRWA,1,1,2,S,,,A,M,,,,,
HF20103G-140601-005,HF20103G,HF20103G-1,01/06/2014,6:01:00 AM,n_a,1,63,GRYE,5,1,2,S,,,A,M,,,,,
HF20103G-140601-006,HF20103G,HF20103G-1,01/06/2014,6:01:00 AM,n_a,1,63,HETH,1,2,2,S,,,A,M,,,,,
HF20103G-140601-007,HF20103G,HF20103G-1,01/06/2014,6:01:00 AM,n_a,1,63,CANG,1,2,2,C,,,A,U,FO,FL,,headed NNW,
HF20103G-140601-008,HF20103G,HF20103G-1,01/06/2014,6:01:00 AM,n_a,1,63,OVEN,1,3,2,S,,,A,M,,,,,
HF20103G-140601-009,HF20103G,HF20103G-1,01/06/2014,6:01:00 AM,n_a,1,63,CANG,1,2,2,C,,,A,U,FO,FL,,headed NNW,
HF20103G-140601-010,HF20103G,HF20103G-1,01/06/2014,6:01:00 AM,n_a,1,63,CANG,1,2,2,C,,,A,U,FO,FL,,headed NNW,
HF20103G-140601-011,HF20103G,HF20103G-1,01/06/2014,6:01:00 AM,n_a,1,63,CANG,1,2,2,C,,,A,U,FO,FL,,headed NNW,
HF20103G-140601-012,HF20103G,HF20103G-1,01/06/2014,6:01:00 AM,n_a,1,63,CANG,1,2,2,C,,,A,U,FO,FL,,headed NNW,
HF20103G-140601-013,HF20103G,HF20103G-1,01/06/2014,6:01:00 AM,n_a,1,63,CANG,1,2,2,C,,,A,U,FO,FL,,headed NNW,
HF20103G-140601-014,HF20103G,HF20103G-1,01/06/2014,6:01:00 AM,n_a,1,63,CANG,1,2,2,C,,,A,U,FO,FL,,headed NNW,
HF20103G-140601-015,HF20103G,HF20103G-1,01/06/2014,6:01:00 AM,n_a,1,63,CANG,1,2,2,C,,,A,U,FO,FL,,headed NNW,
HF20103G-140601-016,HF20103G,HF20103G-1,01/06/2014,6:01:00 AM,n_a,1,63,CANG,1,2,2,C,,,A,U,FO,FL,,headed NNW,
HF20103G-140601-017,HF20103G,HF20103G-1,01/06/2014,6:01:00 AM,n_a,1,63,CANG,1,2,2,C,,,A,U,FO,FL,,headed NNW,
HF20103G-140601-018,HF20103G,HF20103G-1,01/06/2014,6:01:00 AM,n_a,1,63,CANG,1,2,2,C,,,A,U,FO,FL,,headed NNW,
HF20103G-140601-019,HF20103G,HF20103G-1,01/06/2014,6:01:00 AM,n_a,1,63,CANG,1,2,2,C,,,A,U,FO,FL,,headed NNW,
HF20103G-140601-020,HF20103G,HF20103G-1,01/06/2014,6:01:00 AM,n_a,1,63,CANG,1,2,2,C,,,A,U,FO,FL,,headed NNW,
HF20103G-140601-021,HF20103G,HF20103G-1,01/06/2014,6:01:00 AM,n_a,1,63,CANG,1,2,2,C,,,A,U,FO,FL,,headed NNW,
HF20103G-140601-022,HF20103G,HF20103G-1,01/06/2014,6:01:00 AM,n_a,1,63,CANG,1,2,2,C,,,A,U,FO,FL,,headed NNW,
HF20103G-140601-023,HF20103G,HF20103G-1,01/06/2014,6:01:00 AM,n_a,1,63,CANG,1,2,2,C,,,A,U,FO,FL,,headed NNW,
HF20103G-140601-024,HF20103G,HF20103G-1,01/06/2014,6:01:00 AM,n_a,1,63,CANG,1,2,2,C,,,A,U,FO,FL,,headed NNW,
HF20103G-140601-025,HF20103G,HF20103G-1,01/06/2014,6:01:00 AM,n_a,1,63,CANG,1,2,2,C,,,A,U,FO,FL,,headed NNW,
HF20103G-140601-026,HF20103G,HF20103G-1,01/06/2014,6:01:00 AM,n_a,1,63,CANG,1,2,2,C,,,A,U,FO,FL,,headed NNW,
HF20103G-140601-027,HF20103G,HF20103G-1,01/06/2014,6:01:00 AM,n_a,1,63,CANG,1,2,2,C,,,A,U,FO,FL,,headed NNW,
HF20103G-140601-028,HF20103G,HF20103G-1,01/06/2014,6:01:00 AM,n_a,1,63,CANG,1,2,2,C,,,A,U,FO,FL,,headed NNW,
HF20103G-140601-029,HF20103G,HF20103G-1,01/06/2014,6:01:00 AM,n_a,1,63,CANG,1,2,2,C,,,A,U,FO,FL,,headed NNW,
HF20103G-140601-030,HF20103G,HF20103G-1,01/06/2014,6:01:00 AM,n_a,1,63,CANG,1,2,2,C,,,A,U,FO,FL,,headed NNW,
HF20103G-140601-031,HF20103G,HF20103G-1,01/06/2014,6:01:00 AM,n_a,1,63,CANG,1,2,2,C,,,A,U,FO,FL,,headed NNW,
HF20103G-140601-032,HF20103G,HF20103G-1,01/06/2014,6:01:00 AM,n_a,1,63,CANG,1,2,2,C,,,A,U,FO,FL,,headed NNW,
HF20103G-140601-033,HF20103G,HF20103G-1,01/06/2014,6:01:00 AM,n_a,1,63,CANG,1,2,2,C,,,A,U,FO,FL,,headed NNW,
HF20103G-140601-034,HF20103G,HF20103G-1,01/06/2014,6:01:00 AM,n_a,1,63,CANG,1,2,2,C,,,A,U,FO,FL,,headed NNW,
HF20103G-140601-035,HF20103G,HF20103G-1,01/06/2014,6:01:00 AM,n_a,1,63,CANG,1,2,2,C,,,A,U,FO,FL,,headed NNW,
HF20103G-140601-036,HF20103G,HF20103G-1,01/06/2014,6:01:00 AM,n_a,1,63,CANG,1,2,2,C,,,A,U,FO,FL,,headed NNW,
HF20103G-140601-037,HF20103G,HF20103G-1,01/06/2014,6:01:00 AM,n_a,1,63,CANG,1,2,2,C,,,A,U,FO,FL,,headed NNW,
HF20103G-140601-038,HF20103G,HF20103G-1,01/06/2014,6:01:00 AM,n_a,1,63,CANG,1,2,2,C,,,A,U,FO,FL,,headed NNW,
HF20103G-140601-039,HF20103G,HF20103G-1,01/06/2014,6:01:00 AM,n_a,1,63,CANG,1,2,2,C,,,A,U,FO,FL,,headed NNW,
HF20103G-140601-040,HF20103G,HF20103G-1,01/06/2014,6:01:00 AM,n_a,1,63,CANG,1,2,2,C,,,A,U,FO,FL,,headed NNW,
HF20103G-140601-041,HF20103G,HF20103G-1,01/06/2014,6:01:00 AM,n_a,1,63,CANG,1,2,2,C,,,A,U,FO,FL,,headed NNW,
HF20103G-140601-042,HF20103G,HF20103G-1,01/06/2014,6:01:00 AM,n_a,1,63,CANG,1,2,2,C,,,A,U,FO,FL,,headed NNW,
HF20103G-140601-043,HF20103G,HF20103G-1,01/06/2014,6:01:00 AM,n_a,1,63,CANG,1,2,2,C,,,A,U,FO,FL,,headed NNW,
HF20103G-140601-044,HF20103G,HF20103G-1,01/06/2014,6:01:00 AM,n_a,1,63,CANG,1,2,2,C,,,A,U,FO,FL,,headed NNW,
HF20103G-140601-045,HF20103G,HF20103G-1,01/06/2014,6:01:00 AM,n_a,1,63,CANG,1,2,2,C,,,A,U,FO,FL,,headed NNW,
HF20103G-140601-046,HF20103G,HF20103G-1,01/06/2014,6:01:00 AM,n_a,1,63,CANG,1,2,2,C,,,A,U,FO,FL,,headed NNW,
HF20103G-140601-047,HF20103G,HF20103G-1,01/06/2014,6:01:00 AM,n_a,1,63,CANG,1,2,2,C,,,A,U,FO,FL,,headed NNW,
HF20103S-140601-001,HF20103S,HF20103S-1,01/06/2014,5:21:00 AM,n_a,1,87,LISP,1,1,1,S,,,A,M,,,,,
HF20103S-140601-002,HF20103S,HF20103S-1,01/06/2014,5:21:00 AM,n_a,1,87,OVEN,1,1,2,S,,,A,M,,,,,
HF20103S-140601-003,HF20103S,HF20103S-1,01/06/2014,5:21:00 AM,n_a,1,87,GRAJ,3,1,3,C,,,U,U,,,,,
HF20103S-140601-004,HF20103S,HF20103S-1,01/06/2014,5:21:00 AM,n_a,1,87,UNKN,3,4,2,V,,,U,U,FO,,,Flew from NW to SE,Viroe or warbler sized.
HF20103S-140601-005,HF20103S,HF20103S-1,01/06/2014,5:21:00 AM,n_a,1,87,UNKN,5,4,2,V,,,U,U,FT,FL,,Flew from West to East., EABL sized.
HF20103S-140601-006,HF20103S,HF20103S-1,01/06/2014,5:21:00 AM,n_a,1,87,UNKN,5,4,2,V,,,U,U,FT,FL,,Flew from West to East., EABL sized.
HF20103S-140601-007,HF20103S,HF20103S-1,01/06/2014,5:21:00 AM,n_a,1,87,UNKN,5,4,2,V,,,U,U,FT,FL,,Flew from West to East., EABL sized.
HF20103S-140601-008,HF20103S,HF20103S-1,01/06/2014,5:21:00 AM,n_a,1,87,UNKN,5,4,2,V,,,U,U,FT,FL,,Flew from West to East., EABL sized.
HF20103S-140601-009,HF20103S,HF20103S-1,01/06/2014,5:21:00 AM,n_a,1,87,UNKN,5,4,2,V,,,U,U,FT,FL,,Flew from West to East., EABL sized.
